Id,Status,Tags,Worktime,Process
229117ba-5155-4126-b6b9-49d3f6dff820,Complete,Redisclosure: 0,605,ICD
22d99a7c-9f19-4f8a-abe7-283f04e2d950,Complete,Conventional;Redisclosure: 0;Run UCD,687,ICD
23039ba7-9567-46eb-883e-dde03fd721b7,Exception,"Conventional;Encompass - Loan - RegZ - CD :: RegZ - CD Form - CD Issue Date = Missing Wdw , page did not load;Exception: Automatically set exception at CleanUp;System Exception",4205,ICD
234a5136-df29-47de-8548-1bbb226edf73,Complete,Conventional;Redisclosure: 2;Redisclosure: 3;Run UCD,1884,ICD
23704f92-ccff-46fd-8455-6f3ccf9420b4,Complete,Conventional;Redisclosure: 0;Redisclosure: 1;Run UCD,1100,ICD
24401954-5716-453d-b4d7-8f378788fda5,Complete,Redisclosure: 0,569,ICD
245b0aba-7fd7-4374-a15f-5ff52729688a,Complete,Conventional;Redisclosure: 1;Run UCD,226,ICD
246c8c00-f8c1-44f6-bf57-fad773904b1d,Business Exception,"Business Exception;Business Exception: Closing Disclosure Errors: Document Date is Required
Document Date Violation;Exception: Business Exception: Closing Disclosure Errors: Document Date is Required
Document Date Violation",8,ICD
24707405-00f9-4fa3-8250-c8d29eec7666,Complete,Conventional;Redisclosure: 0;Redisclosure: 1;Run UCD,881,ICD
2475d065-df9c-4b1a-8475-c0daf29409a8,Complete,Redisclosure: 0,651,ICD
24b281cc-8023-4a3c-8a5b-6d9ff160da6a,Complete,Conventional;Redisclosure: 2;Run UCD,268,ICD
258d92ad-fed8-4a00-a79f-a654ab4021fd,Complete,Conventional;Redisclosure: 1;Run UCD,227,ICD
25e68e38-36ac-4c4f-9b9f-9df1bf92eaa0,Complete,Conventional;Redisclosure: 2;Run UCD,226,ICD
25f597d4-ec84-4ba7-9849-f7cea59963cb,Complete,Conventional;Redisclosure: 2;Run UCD,667,ICD
26470f97-a7df-4e0e-b5c6-89cfa1e4242d,Complete,"Conventional;Encompass - Loan - RegZ - CD :: RegZ - CD Form - CD Issue Date = Missing Wdw , page did not load;Redisclosure: 2;Run UCD;System Exception",1582,ICD
265a08f8-9aac-4118-82b3-bdbac6a3ec9d,Complete,Redisclosure: 0,554,ICD
266cddd3-9618-4c17-aea9-7c929f89db8f,Complete,Redisclosure: 0,594,ICD
27b590ae-480c-40e2-b755-3d771042f659,Complete,Redisclosure: 0,554,ICD
27f2d5ad-c556-40ab-a28a-dd394f330977,Complete,Conventional;Redisclosure: 3;Run UCD,714,ICD
27fa22d7-20b0-48d7-a2a2-00400d523be4,Business Exception,Business Exception;Business Exception: Closing Disclosure Errors: COC Required - Tolerance Cure;Conventional;Exception: Business Exception: Closing Disclosure Errors: COC Required - Tolerance Cure,10,ICD
281171a1-dd6d-4546-9352-297c733cb19a,Complete,Redisclosure: 2,574,ICD
281ec171-424a-422d-a01a-91dbfdcc7ec1,Complete,Conventional;Redisclosure: 1;Run UCD,247,ICD
29118e94-c60e-4e7b-a45e-28e4dc156828,Complete,Redisclosure: 0,639,ICD
2913fd0a-64f1-43ee-abc9-4b5be447331c,Complete,Redisclosure: 0,600,ICD
29217218-6d8a-489e-bbd3-f048d5a4d429,Complete,Conventional;Redisclosure: 1;Run UCD,287,ICD
2970b6dc-f215-43b7-a30d-563c3e8945a6,Complete,Conventional;Redisclosure: 1;Run UCD,282,ICD
298cb551-dd64-4940-a847-618446d215b2,Complete,Conventional;Redisclosure: 0;Run UCD,725,ICD
2991b387-8e35-4e81-9a6e-07f0ee882933,Complete,Conventional;Redisclosure: 0;Run UCD,649,ICD
2adee33a-e84d-4c60-853d-0fe4452e8b4d,Complete,Conventional;Redisclosure: 0;Run UCD,667,ICD
2b1a8bfc-74e2-44b8-9dec-174a4a044ae2,Complete,Conventional;Redisclosure: 0;Run UCD,683,ICD
2b3c9fba-f4fa-4a00-b0ed-327f37113ee0,Complete,Conventional;Redisclosure: 1;Redisclosure: 2;Run UCD,930,ICD
2b5cd955-fc9a-470d-9955-6d3b2fd624a9,Complete,Conventional;Redisclosure: 1;Run UCD,271,ICD
2bcf722a-2add-4fcf-9530-7fef7363f9b6,Complete,"Conventional;Encompass - Loan - RegZ - CD :: RegZ - CD Form - CD Issue Date = Missing Wdw , page did not load;Redisclosure: 1;Run UCD;System Exception",2150,ICD
2be64427-e5eb-49f6-8ebd-73482adac864,Complete,Conventional;Redisclosure: 0;Run UCD,724,ICD
2c09664d-7a14-41ca-b019-5a2e29234442,Complete,Redisclosure: 0,684,ICD
2c3b421c-c388-44e9-90f0-082011cabba2,Complete,Conventional;Redisclosure: 1;Run UCD,309,ICD
2c63dc49-8f77-474b-9037-162a2e5174e5,Complete,Redisclosure: 1,718,ICD
2c68b859-3ea3-4872-a219-2b21d2dbd747,Complete,Redisclosure: 1,151,ICD
2c8448d4-6de6-4273-96e3-0754c6fff1eb,Complete,Conventional;Redisclosure: 0;Run UCD,635,ICD
2d0c7c37-2c11-46d5-91ba-5a175139e559,Complete,Conventional;Redisclosure: 0;Run UCD,752,ICD
